County,MissingMeals,year,UnEmployRate
Brunswick,2920971.083,2007,5
Brunswick,2934365.982,2007,7.5
Brunswick,2948127.915,2007,10.0
Brunswick,2962277.553,2007,12.5
Brunswick,2976837.387,2007,15.0
Brunswick,2991831.903,2007,17.5
Brunswick,3007287.864,2007,20.0
Brunswick,3023234.57,2007,22.5
Brunswick,3039704.21,2007,25.0
Brunswick,5184152.037,2008,5
Brunswick,5197988.525,2008,7.5
Brunswick,5212204.149,2008,10.0
Brunswick,5226820.263,2008,12.5
Brunswick,5241860.087,2008,15.0
Brunswick,5257348.933,2008,17.5
Brunswick,5273314.425,2008,20.0
Brunswick,5289786.848,2008,22.5
Brunswick,5306799.447,2008,25.0
Brunswick,2768072.525,2009,5
Brunswick,2782094.201,2009,7.5
Brunswick,2796500.077,2009,10.0
Brunswick,2811311.809,2009,12.5
Brunswick,2826552.92,2009,15.0
Brunswick,2842249.064,2009,17.5
Brunswick,2858428.233,2009,20.0
Brunswick,2875121.116,2009,22.5
Brunswick,2892361.407,2009,25.0
Brunswick,2077369.022,2010,5
Brunswick,2092042.157,2010,7.5
Brunswick,2107117.353,2010,10.0
Brunswick,2122617.256,2010,12.5
Brunswick,2138566.488,2010,15.0
Brunswick,2154991.894,2010,17.5
Brunswick,2171922.767,2010,20.0
Brunswick,2189391.223,2010,22.5
Brunswick,2207432.519,2010,25.0
Carteret,1781708.522,2007,5
Carteret,1790343.111,2007,7.5
Carteret,1799214.298,2007,10.0
Carteret,1808335.405,2007,12.5
Carteret,1817720.933,2007,15.0
Carteret,1827386.664,2007,17.5
Carteret,1837349.85,2007,20.0
Carteret,1847629.381,2007,22.5
Carteret,1858246.003,2007,25.0
Carteret,3096530.07,2008,5
Carteret,3105057.351,2008,7.5
Carteret,3113818.283,2008,10.0
Carteret,3122826.036,2008,12.5
Carteret,3132094.92,2008,15.0
Carteret,3141640.525,2008,17.5
Carteret,3151479.888,2008,20.0
Carteret,3161631.664,2008,22.5
Carteret,3172116.342,2008,25.0
Carteret,1687364.191,2009,5
Carteret,1696040.565,2009,7.5
Carteret,1704954.681,2009,10.0
Carteret,1714119.928,2009,12.5
Carteret,1723550.874,2009,15.0
Carteret,1733263.381,2009,17.5
Carteret,1743274.781,2009,20.0
Carteret,1753604.056,2009,22.5
Carteret,1764272.055,2009,25.0
Carteret,1304224.609,2010,5
Carteret,1313183.351,2010,7.5
Carteret,1322387.566,2010,10.0
Carteret,1331851.09,2010,12.5
Carteret,1341588.958,2010,15.0
Carteret,1351617.548,2010,17.5
Carteret,1361954.76,2010,20.0
Carteret,1372620.192,2010,22.5
Carteret,1383635.371,2010,25.0
Chatham,1620881.246,2007,5
Chatham,1628003.353,2007,7.5
Chatham,1635320.61,2007,10.0
Chatham,1642844.011,2007,12.5
Chatham,1650585.514,2007,15.0
Chatham,1658558.139,2007,17.5
Chatham,1666776.115,2007,20.0
Chatham,1675255.022,2007,22.5
Chatham,1684011.974,2007,25.0
Chatham,2762751.028,2008,5
Chatham,2769966.514,2008,7.5
Chatham,2777379.713,2008,10.0
Chatham,2785001.761,2008,12.5
Chatham,2792844.766,2008,15.0
Chatham,2800921.928,2008,17.5
Chatham,2809247.653,2008,20.0
Chatham,2817837.733,2008,22.5
Chatham,2826709.503,2008,25.0
Chatham,1515080.771,2009,5
Chatham,1522394.705,2009,7.5
Chatham,1529909.05,2009,10.0
Chatham,1537635.09,2009,12.5
Chatham,1545585.107,2009,15.0
Chatham,1553772.47,2009,17.5
Chatham,1562211.794,2009,20.0
Chatham,1570919.076,2009,22.5
Chatham,1579911.893,2009,25.0
Chatham,1292835.268,2010,5
Chatham,1300901.966,2010,7.5
Chatham,1309189.694,2010,10.0
Chatham,1317710.912,2010,12.5
Chatham,1326479.154,2010,15.0
Chatham,1335509.176,2010,17.5
Chatham,1344817.086,2010,20.0
Chatham,1354420.532,2010,22.5
Chatham,1364338.905,2010,25.0
Columbus,2257139.554,2007,5
Columbus,2263826.401,2007,7.5
Columbus,2270696.47,2007,10.0
Columbus,2277760.089,2007,12.5
Columbus,2285028.479,2007,15.0
Columbus,2292513.867,2007,17.5
Columbus,2300229.61,2007,20.0
Columbus,2308190.339,2007,22.5
Columbus,2316412.12,2007,25.0
Columbus,3346179.197,2008,5
Columbus,3352766.328,2008,7.5
Columbus,3359533.953,2008,10.0
Columbus,3366492.239,2008,12.5
Columbus,3373652.243,2008,15.0
Columbus,3381026.009,2008,17.5
Columbus,3388626.696,2008,20.0
Columbus,3396468.714,2008,22.5
Columbus,3404567.893,2008,25.0
Columbus,2121544.249,2009,5
Columbus,2128191.844,2009,7.5
Columbus,2135021.585,2009,10.0

Columbus,2142043.739,2009,12.5
Columbus,2149269.462,2009,15.0
Columbus,2156710.911,2009,17.5
Columbus,2164381.362,2009,20.0
Columbus,2172295.36,2009,22.5
Columbus,2180468.879,2009,25.0
Columbus,1805843.74,2010,5
Columbus,1812670.817,2010,7.5
Columbus,1819684.963,2010,10.0
Columbus,1826896.716,2010,12.5
Columbus,1834317.533,2010,15.0
Columbus,1841959.901,2010,17.5
Columbus,1849837.454,2010,20.0
Columbus,1857965.13,2010,22.5
Columbus,1866359.334,2010,25.0
Craven,2830343.257,2007,5
Craven,2842645.105,2007,7.5
Craven,2855284.029,2007,10.0
Craven,2868279.029,2007,12.5
Craven,2881650.748,2007,15.0
Craven,2895421.678,2007,17.5
Craven,2909616.396,2007,20.0
Craven,2924261.816,2007,22.5
Craven,2939387.495,2007,25.0
Craven,5017051.337,2008,5
Craven,5029759.322,2008,7.5
Craven,5042815.511,2008,10.0
Craven,5056239.531,2008,12.5
Craven,5070052.707,2008,15.0
Craven,5084278.274,2008,17.5
Craven,5098941.621,2008,20.0
Craven,5114070.548,2008,22.5
Craven,5129695.591,2008,25.0
Craven,2742632.406,2009,5
Craven,2755221.046,2009,7.5
Craven,2768154.629,2009,10.0
Craven,2781452.585,2009,12.5
Craven,2795136.037,2009,15.0
Craven,2809228.017,2009,17.5
Craven,2823753.656,2009,20.0
Craven,2838740.508,2009,22.5
Craven,2854218.822,2009,25.0
Craven,2043197.071,2010,5
Craven,2055979.446,2010,7.5
Craven,2069112.063,2010,10.0
Craven,2082614.664,2010,12.5
Craven,2096508.7,2010,15.0
Craven,2110817.54,2010,17.5
Craven,2125566.723,2010,20.0
Craven,2140784.211,2010,22.5
Craven,2156500.719,2010,25.0
Duplin,2116169.829,2007,5
Duplin,2121753.175,2007,7.5
Duplin,2127489.508,2007,10.0
Duplin,2133387.449,2007,12.5
Duplin,2139456.369,2007,15.0
Duplin,2145706.476,2007,17.5
Duplin,2152148.925,2007,20.0
Duplin,2158795.93,2007,22.5
Duplin,2165660.907,2007,25.0
Duplin,2993090.578,2008,5
Duplin,2998587.823,2008,7.5
